# 단일 인스턴스 + 세마포어 (동시 처리 50)
# TOTAL_REQUESTS = 1000
# CONCURRENT_TASKS = 50

[INFO] 요청 318 완료 (응답 시간: 84.2968초)
[INFO] 요청 319 완료 (응답 시간: 84.5800초)
[INFO] 요청 320 완료 (응답 시간: 84.7804초)
[INFO] 요청 321 완료 (응답 시간: 84.8149초)
[INFO] 요청 322 완료 (응답 시간: 84.8617초)
[INFO] 요청 323 완료 (응답 시간: 84.8012초)
[INFO] 요청 324 완료 (응답 시간: 84.7516초)
[INFO] 요청 325 완료 (응답 시간: 85.3240초)
[INFO] 요청 326 완료 (응답 시간: 85.4293초)
[INFO] 요청 327 완료 (응답 시간: 85.9174초)
[INFO] 요청 328 완료 (응답 시간: 85.9839초)
[INFO] 요청 329 완료 (응답 시간: 86.0760초)
[INFO] 요청 330 완료 (응답 시간: 86.0318초)
[INFO] 요청 331 완료 (응답 시간: 86.4210초)
[INFO] 요청 332 완료 (응답 시간: 86.5961초)
[INFO] 요청 333 완료 (응답 시간: 86.9050초)
[INFO] 요청 334 완료 (응답 시간: 86.9092초)
[INFO] 요청 335 완료 (응답 시간: 86.7374초)
[INFO] 요청 336 완료 (응답 시간: 88.0317초)
[INFO] 요청 337 완료 (응답 시간: 88.1480초)
[INFO] 요청 338 완료 (응답 시간: 87.8490초)
[INFO] 요청 339 완료 (응답 시간: 87.8501초)
[INFO] 요청 340 완료 (응답 시간: 87.9312초)
[INFO] 요청 341 완료 (응답 시간: 87.9438초)
[INFO] 요청 342 완료 (응답 시간: 88.1243초)
[INFO] 요청 343 완료 (응답 시간: 88.4291초)
[INFO] 요청 344 완료 (응답 시간: 88.6531초)
[INFO] 요청 345 완료 (응답 시간: 89.2621초)
[INFO] 요청 346 완료 (응답 시간: 89.3429초)
[INFO] 요청 347 완료 (응답 시간: 89.4193초)
[INFO] 요청 348 완료 (응답 시간: 89.6290초)
[INFO] 요청 349 완료 (응답 시간: 89.7911초)
[INFO] 요청 350 완료 (응답 시간: 87.3996초)
[INFO] 요청 351 완료 (응답 시간: 86.8187초)
[INFO] 요청 352 완료 (응답 시간: 86.7398초)
[INFO] 요청 353 완료 (응답 시간: 86.9043초)
[INFO] 요청 354 완료 (응답 시간: 85.0456초)
[INFO] 요청 355 완료 (응답 시간: 84.8362초)
[INFO] 요청 356 완료 (응답 시간: 84.8190초)
[INFO] 요청 357 완료 (응답 시간: 84.8755초)
[INFO] 요청 358 완료 (응답 시간: 84.2504초)
[INFO] 요청 359 완료 (응답 시간: 84.3596초)
[INFO] 요청 360 완료 (응답 시간: 85.1862초)
[INFO] 요청 361 완료 (응답 시간: 85.5660초)
[INFO] 요청 362 완료 (응답 시간: 86.4985초)
[INFO] 요청 363 완료 (응답 시간: 86.7242초)
[INFO] 요청 364 완료 (응답 시간: 86.9175초)
[INFO] 요청 365 완료 (응답 시간: 86.8843초)
[INFO] 요청 366 완료 (응답 시간: 86.9598초)
[INFO] 요청 367 완료 (응답 시간: 86.6309초)
[INFO] 요청 368 완료 (응답 시간: 86.5964초)
[INFO] 요청 369 완료 (응답 시간: 86.4702초)
[INFO] 요청 370 완료 (응답 시간: 86.3396초)
[INFO] 요청 371 완료 (응답 시간: 87.2087초)
[INFO] 요청 372 완료 (응답 시간: 87.4156초)
[INFO] 요청 373 완료 (응답 시간: 87.4283초)
[INFO] 요청 374 완료 (응답 시간: 87.9446초)
[INFO] 요청 375 완료 (응답 시간: 87.5423초)
[INFO] 요청 376 완료 (응답 시간: 87.5680초)
[INFO] 요청 377 완료 (응답 시간: 87.9393초)
[INFO] 요청 378 완료 (응답 시간: 89.5281초)
[INFO] 요청 379 완료 (응답 시간: 89.8460초)
[INFO] 요청 380 완료 (응답 시간: 89.9264초)
[INFO] 요청 381 완료 (응답 시간: 90.3815초)
[INFO] 요청 382 완료 (응답 시간: 90.6839초)
[INFO] 요청 383 완료 (응답 시간: 90.4627초)
[INFO] 요청 384 완료 (응답 시간: 90.5407초)
[INFO] 요청 385 완료 (응답 시간: 90.4280초)
[INFO] 요청 386 완료 (응답 시간: 89.2769초)
[INFO] 요청 387 완료 (응답 시간: 89.4140초)
[INFO] 요청 388 완료 (응답 시간: 89.4724초)
[INFO] 요청 389 완료 (응답 시간: 89.7318초)
[INFO] 요청 390 완료 (응답 시간: 89.7265초)
[INFO] 요청 391 완료 (응답 시간: 89.6570초)
[INFO] 요청 392 완료 (응답 시간: 90.0898초)
[INFO] 요청 393 완료 (응답 시간: 89.8054초)
[INFO] 요청 394 완료 (응답 시간: 89.9039초)
[INFO] 요청 395 완료 (응답 시간: 89.8751초)
[INFO] 요청 396 완료 (응답 시간: 90.0815초)
[INFO] 요청 397 완료 (응답 시간: 90.0531초)
[INFO] 요청 398 완료 (응답 시간: 90.0797초)
[INFO] 요청 399 완료 (응답 시간: 89.7496초)
[INFO] 요청 400 완료 (응답 시간: 89.7912초)
[INFO] 요청 401 완료 (응답 시간: 89.8042초)
[INFO] 요청 402 완료 (응답 시간: 89.8093초)
[INFO] 요청 403 완료 (응답 시간: 89.7184초)
[INFO] 요청 404 완료 (응답 시간: 90.1084초)
[INFO] 요청 405 완료 (응답 시간: 90.0414초)
[INFO] 요청 406 완료 (응답 시간: 90.1411초)
[INFO] 요청 407 완료 (응답 시간: 90.1726초)
[INFO] 요청 408 완료 (응답 시간: 90.2192초)
[INFO] 요청 409 완료 (응답 시간: 90.0767초)
[INFO] 요청 410 완료 (응답 시간: 89.2160초)
[INFO] 요청 411 완료 (응답 시간: 88.8624초)
[INFO] 요청 412 완료 (응답 시간: 88.1406초)
[INFO] 요청 413 완료 (응답 시간: 88.0525초)
[INFO] 요청 414 완료 (응답 시간: 88.1590초)
[INFO] 요청 415 완료 (응답 시간: 88.5557초)
[INFO] 요청 416 완료 (응답 시간: 88.4626초)
[INFO] 요청 417 완료 (응답 시간: 88.9789초)
[INFO] 요청 418 완료 (응답 시간: 89.2219초)
[INFO] 요청 419 완료 (응답 시간: 89.2811초)
[INFO] 요청 420 완료 (응답 시간: 89.2862초)
[INFO] 요청 421 완료 (응답 시간: 88.4750초)
[INFO] 요청 422 완료 (응답 시간: 88.6423초)
[INFO] 요청 423 완료 (응답 시간: 88.6661초)
[INFO] 요청 424 완료 (응답 시간: 88.0639초)
[INFO] 요청 425 완료 (응답 시간: 88.3255초)
[INFO] 요청 426 완료 (응답 시간: 88.3945초)
[INFO] 요청 427 완료 (응답 시간: 87.5793초)
[INFO] 요청 428 완료 (응답 시간: 86.1764초)
[INFO] 요청 429 완료 (응답 시간: 85.7738초)
[INFO] 요청 430 완료 (응답 시간: 85.6007초)
[INFO] 요청 431 완료 (응답 시간: 84.8214초)
[INFO] 요청 432 완료 (응답 시간: 84.4131초)
[INFO] 요청 433 완료 (응답 시간: 84.3830초)
[INFO] 요청 434 완료 (응답 시간: 84.4071초)
[INFO] 요청 435 완료 (응답 시간: 84.5187초)
[INFO] 요청 436 완료 (응답 시간: 84.3927초)
[INFO] 요청 459 완료 (응답 시간: 46.9588초)
[INFO] 요청 460 완료 (응답 시간: 47.1441초)
[INFO] 요청 461 완료 (응답 시간: 46.8314초)
[INFO] 요청 462 완료 (응답 시간: 46.7590초)
[INFO] 요청 463 완료 (응답 시간: 46.6590초)
[INFO] 요청 464 완료 (응답 시간: 46.3507초)
[INFO] 요청 465 완료 (응답 시간: 45.8964초)
[INFO] 요청 466 완료 (응답 시간: 46.1306초)
[INFO] 요청 467 완료 (응답 시간: 45.5618초)
[INFO] 요청 468 완료 (응답 시간: 45.2281초)
[INFO] 요청 469 완료 (응답 시간: 45.0729초)
[INFO] 요청 470 완료 (응답 시간: 45.3711초)
[INFO] 요청 471 완료 (응답 시간: 45.2999초)
[INFO] 요청 472 완료 (응답 시간: 45.5376초)
[INFO] 요청 437 완료 (응답 시간: 107.2926초)
[INFO] 요청 438 완료 (응답 시간: 106.9510초)
[INFO] 요청 439 완료 (응답 시간: 106.8460초)
[INFO] 요청 440 완료 (응답 시간: 107.2698초)
[INFO] 요청 441 완료 (응답 시간: 107.3259초)
[INFO] 요청 442 완료 (응답 시간: 106.8439초)
[INFO] 요청 443 완료 (응답 시간: 106.9289초)
[INFO] 요청 444 완료 (응답 시간: 107.0899초)
[INFO] 요청 445 완료 (응답 시간: 106.5912초)
[INFO] 요청 446 완료 (응답 시간: 106.6778초)
[INFO] 요청 447 완료 (응답 시간: 107.4117초)
